date,position,city,state,endorser,endorsee,endorser_party,source,order,category,body,district,points
2019-04-22,former DNC chair,NA,PA,Ed Rendell,Joe Biden,D,https://www.post-gazette.com/news/politics-local/2019/04/22/Joe-Biden-plans-Pittsburgh-rally-presidential-announcement-candidacy-Democrat/stories/201904220086?utm_medium=social&utm_source=twitter_PittsburghPG,NA,Former party leaders,NA,NA,5
2019-04-24,representative,NA,VA,Don Beyer,Pete Buttigieg,D,https://www.washingtonpost.com/local/virginia-politics/buttigieg-gets-first-endorsement-from-member-of-congress-rep-don-beyer-of-va/2019/04/24/8f42be3c-66c3-11e9-8985-4cf30147bdca_story.html?utm_term=.7efcd3bf07bf,NA,Representatives,NA,8,3
2019-04-24,representative,NA,PA,Matt Cartwright,Joe Biden,D,http://www.politicspa.com/boyle-cartwright-and-evans-back-biden/91028/,NA,Representatives,NA,8,3
2019-04-25,DNC member,NA,DC,Symone Sanders,Joe Biden,D,https://apnews.com/2572f844ea074460a2f95243c433f9bc,NA,DNC members,NA,NA,1
2019-04-25,DNC member,NA,DC,Cristobal J. Alex,Joe Biden,D,https://twitter.com/cristobaljalex/status/1121364035528687616?s=21,NA,DNC members,NA,NA,1
2019-04-25,attorney general,NA,DE,Kathy Jennings,Joe Biden,D,https://www.facebook.com/149727352405928/posts/323362398375755?s=100000461722748&v=i&sfns=mo,36,Statewide officeholders,NA,NA,2
2019-04-25,representative,NA,PA,Dwight Evans,Joe Biden,D,http://www.politicspa.com/boyle-cartwright-and-evans-back-biden/91028/,NA,Representatives,NA,3,3
2019-04-25,representative,NA,PA,Brendan Boyle,Joe Biden,D,https://twitter.com/lauraolson/status/1121449705102348289,NA,Representatives,NA,2,3
2019-04-25,representative,NA,NY,Thomas Suozzi,Joe Biden,D,https://twitter.com/Tom_Suozzi/status/1121379897874767874,NA,Representatives,NA,3,3
2019-04-25,representative,NA,LA,Cedric Richmond,Joe Biden,D,https://www.vox.com/policy-and-politics/2019/4/28/18521515/joe-biden-support-electability-cedric-richmond-james-clyburn-anita-hill,NA,Representatives,NA,2,3
2019-04-25,representative,NA,DE,Lisa Blunt Rochester,Joe Biden,D,https://twitter.com/benyc/status/1121369759550005249?s=19,NA,Representatives,NA,0,3
2019-04-25,senator,NA,PA,Robert P. Casey Jr.,Joe Biden,D,https://twitter.com/JTHVerhovek/status/1121363322526470144,NA,Senators,NA,NA,6
2019-04-25,senator,NA,AL,Doug Jones,Joe Biden,D,https://twitter.com/dougjones/status/1121381353117843456,NA,Senators,NA,NA,6
2019-04-25,governor,NA,DE,John Carney,Joe Biden,D,https://www.instagram.com/p/Bwri44glSkb/,NA,Governors,NA,NA,8
2019-04-26,past presidential nominee,NA,MA,Michael Dukakis,Elizabeth Warren,D,https://www.wbur.org/news/2019/04/26/dukakis-biden-2020-campaign,8,Past nominees,NA,NA,5
2019-05-03,representative,NA,VA,A. Donald McEachin,Joe Biden,D,https://www.usatoday.com/story/news/politics/2019/05/03/2020-candidates-courting-congressional-black-caucus-members/3645701002/,NA,Representatives,NA,4,3
2019-05-09,DNC member,NA,DC,Jeff Berman,Beto O'Rourke,D,https://www.apnews.com/1a1ef23fd3f74457b59c1441465954c7,NA,DNC members,NA,NA,1
2019-05-12,state controller,NA,NV,Catherine Byrne,Elizabeth Warren,D,https://twitter.com/meganmesserly/status/1127732368779800576,133,Statewide officeholders,NA,NA,2
2019-05-14,representative,NA,TX,Filemon Vela,Joe Biden,D,https://twitter.com/heatherscope/status/1128390149115666433,NA,Representatives,NA,34,3
2019-05-16,attorney general,NA,IA,Tom Miller,Steve Bullock,D,https://www.cnn.com/2019/05/16/politics/bullock-endorsement-iowa-ag/index.html,71,Statewide officeholders,NA,NA,2
2019-05-20,former U.S. Senate majority leader,NA,SD,Tom Daschle,Joe Biden,D,https://www.cnbc.com/video/2019/05/20/a-lot-of-promise-in-cannabis-says-former-senate-majority-leader-tom-daschle.html,NA,Former party leaders,NA,NA,5
2019-05-23,representative,NA,WA,Kim Schrier,Jay Inslee,D,https://twitter.com/ZachMontellaro/status/1141475723812757504,NA,Representatives,NA,8,3
2019-05-29,mayor,Dallas,TX,Mike Rawlings,Joe Biden,D,https://www.dallasnews.com/news/politics/2019/05/29/dallas-mayor-mike-rawlings-endorsesjoe-biden-president-spurning-beto-orourke-julian-castro,9,Mayors,NA,NA,3
2019-05-30,speaker,NA,CA,Anthony Rendon,Kamala Harris,D,https://twitter.com/RendonAnthony/status/1134095064861331457,NA,State legislative leaders,House,NA,2
2019-05-30,representative,NA,FL,Al Lawson,Joe Biden,D,https://www.politico.com/story/2019/05/30/joe-biden-congressional-endorsements-1347598,NA,Representatives,NA,5,3
2019-06-09,senator,NA,MT,Jon Tester,Steve Bullock,D,https://www.cbsnews.com/news/steve-bullock-endorsed-by-jon-tester-fellow-montana-democrat/,NA,Senators,NA,NA,6
2019-06-17,representative,NA,CA,Jim Costa,Kamala Harris,D,https://www.fresnobee.com/news/local/article231649843.html,NA,Representatives,NA,16,3
2019-06-20,representative,NA,WA,Derek Kilmer,Jay Inslee,D,https://twitter.com/ZachMontellaro/status/1142098852910178304,NA,Representatives,NA,6,3
2019-06-20,representative,NA,TX,Al Green,Kamala Harris,D,https://www.politico.com/story/2019/06/20/al-green-endorses-kamala-harris-1372602,NA,Representatives,NA,9,3
2019-06-21,representative,NA,FL,Alcee L. Hastings,Kamala Harris,D,https://www.cnn.com/2019/06/21/politics/kamala-harris-endorsed-by-alcee-hastings/index.html,NA,Representatives,NA,20,3
NA,DNC member,NA,NY,Ai-Jen Poo,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NY,Michael Reich,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NY,Christine Quinn,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NY,Gerard J. Sweeney,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,NY,Christopher Lowe,NA,D,NA,NA,DNC members,NA,NA,1
