name,date,open,high,low,close,volume
sanders,2019-07-11,0.12000000000000001,0.13,0.12000000000000001,0.13,29111
booker,2019-07-11,0.04,0.05,0.04,0.04,16927
harris,2019-07-11,0.25,0.26,0.24000000000000002,0.24000000000000002,14754
gillibrand,2019-07-11,0.01,0.01,0.01,0.01,401
biden,2019-07-11,0.23,0.23,0.21000000000000002,0.23,23578
warren,2019-07-11,0.2,0.21000000000000002,0.19,0.2,24953
cuomo,2019-07-11,0.01,0.01,0.01,0.01,0
zuckerberg,2019-07-11,0.01,0.01,0.01,0.01,0
kaine,2019-07-11,0.01,0.01,0.01,0.01,0
klobuchar,2019-07-11,0.03,0.03,0.02,0.02,1336
johnson,2019-07-11,0.01,0.01,0.01,0.01,0
brown,2019-07-11,0.01,0.01,0.01,0.01,0
murphy,2019-07-11,0.01,0.01,0.01,0.01,0
delaney,2019-07-11,0.01,0.01,0.01,0.01,0
winfrey,2019-07-11,0.01,0.01,0.01,0.01,0
o_rourke,2019-07-11,0.03,0.03,0.02,0.02,2022
clinton,2019-07-11,0.03,0.03,0.02,0.03,458
s_brown,2019-07-11,0.01,0.01,0.01,0.01,0
bloomberg,2019-07-11,0.01,0.01,0.01,0.01,0
yang,2019-07-11,0.07,0.08,0.06,0.06,18699
buttigieg,2019-07-11,0.12000000000000001,0.12000000000000001,0.11,0.11,11347
castro,2019-07-11,0.02,0.03,0.02,0.02,5584
gabbard,2019-07-11,0.05,0.05,0.04,0.04,1565
hickenlooper,2019-07-11,0.01,0.01,0.01,0.01,0
inslee,2019-07-11,0.01,0.01,0.01,0.01,150
bullock,2019-07-11,0.02,0.02,0.01,0.01,717
bennet,2019-07-11,0.01,0.01,0.01,0.01,0
williamson,2019-07-11,0.01,0.02,0.01,0.01,3024
ryan,2019-07-11,0.01,0.01,0.01,0.01,0
de_blasio,2019-07-11,0.01,0.01,0.01,0.01,0
swalwell,2019-07-11,0.01,0.01,0.01,0.01,0
sanders,2019-07-12,0.13,0.14,0.12000000000000001,0.13,10826
booker,2019-07-12,0.04,0.05,0.04,0.04,2025
harris,2019-07-12,0.24000000000000002,0.25,0.23,0.23,19669
gillibrand,2019-07-12,0.01,0.02,0.01,0.01,4083
biden,2019-07-12,0.23,0.23,0.21000000000000002,0.22,6562
warren,2019-07-12,0.2,0.21000000000000002,0.2,0.2,14275
cuomo,2019-07-12,0.01,0.01,0.01,0.01,0
zuckerberg,2019-07-12,0.01,0.01,0.01,0.01,15
kaine,2019-07-12,0.01,0.01,0.01,0.01,0
klobuchar,2019-07-12,0.02,0.03,0.02,0.02,1841
johnson,2019-07-12,0.01,0.01,0.01,0.01,0
brown,2019-07-12,0.01,0.01,0.01,0.01,0
murphy,2019-07-12,0.01,0.01,0.01,0.01,0
delaney,2019-07-12,0.01,0.01,0.01,0.01,0
winfrey,2019-07-12,0.01,0.01,0.01,0.01,30
o_rourke,2019-07-12,0.02,0.03,0.02,0.02,20413
clinton,2019-07-12,0.03,0.04,0.02,0.04,15352
s_brown,2019-07-12,0.01,0.01,0.01,0.01,0
