name,date,open,high,low,close,volume
sanders,2019-10-23,0.13,0.14,0.12000000000000001,0.12000000000000001,22774
booker,2019-10-23,0.02,0.02,0.01,0.02,5042
harris,2019-10-23,0.04,0.05,0.03,0.04,11809
gillibrand,2019-10-23,0.01,0.01,0.01,0.01,0
biden,2019-10-23,0.21000000000000002,0.25,0.2,0.23,54633
warren,2019-10-23,0.38,0.38,0.32999999999999996,0.33999999999999997,31602
cuomo,2019-10-23,0.01,0.01,0.01,0.01,0
zuckerberg,2019-10-23,0.01,0.01,0.01,0.01,0
kaine,2019-10-23,0.01,0.01,0.01,0.01,0
klobuchar,2019-10-23,0.03,0.04,0.02,0.03,43156
johnson,2019-10-23,0.01,0.01,0.01,0.01,0
brown,2019-10-23,0.01,0.01,0.01,0.01,0
murphy,2019-10-23,0.01,0.01,0.01,0.01,0
delaney,2019-10-23,0.01,0.01,0.01,0.01,0
winfrey,2019-10-23,0.01,0.01,0.01,0.01,6018
o_rourke,2019-10-23,0.01,0.01,0.01,0.01,500
clinton,2019-10-23,0.1,0.1,0.07,0.08,30885
s_brown,2019-10-23,0.01,0.01,0.01,0.01,416
bloomberg,2019-10-23,0.03,0.04,0.02,0.03,56824
yang,2019-10-23,0.09,0.09,0.07,0.09,16759
buttigieg,2019-10-23,0.17,0.17,0.11,0.11,56829
castro,2019-10-23,0.01,0.01,0.01,0.01,1
gabbard,2019-10-23,0.04,0.04,0.03,0.04,16220
hickenlooper,2019-10-23,0.01,0.01,0.01,0.01,0
inslee,2019-10-23,0.01,0.01,0.01,0.01,0
bullock,2019-10-23,0.01,0.01,0.01,0.01,24069
bennet,2019-10-23,0.01,0.01,0.01,0.01,0
williamson,2019-10-23,0.01,0.01,0.01,0.01,0
ryan,2019-10-23,0.01,0.01,0.01,0.01,0
de_blasio,2019-10-23,0.01,0.01,0.01,0.01,0
swalwell,2019-10-23,0.01,0.01,0.01,0.01,0
steyer,2019-10-23,0.01,0.02,0.01,0.01,15253
sanders,2019-10-24,0.12000000000000001,0.13,0.12000000000000001,0.12000000000000001,17192
booker,2019-10-24,0.02,0.02,0.01,0.02,6742
harris,2019-10-24,0.04,0.05,0.03,0.03,5032
gillibrand,2019-10-24,0.01,0.01,0.01,0.01,0
biden,2019-10-24,0.23,0.25,0.21000000000000002,0.21000000000000002,26384
warren,2019-10-24,0.33999999999999997,0.42000000000000004,0.33999999999999997,0.39,29122
cuomo,2019-10-24,0.01,0.01,0.01,0.01,0
zuckerberg,2019-10-24,0.01,0.01,0.01,0.01,0
kaine,2019-10-24,0.01,0.01,0.01,0.01,0
klobuchar,2019-10-24,0.03,0.04,0.02,0.03,9714
johnson,2019-10-24,0.01,0.01,0.01,0.01,0
brown,2019-10-24,0.01,0.01,0.01,0.01,0
murphy,2019-10-24,0.01,0.01,0.01,0.01,0
delaney,2019-10-24,0.01,0.01,0.01,0.01,0
winfrey,2019-10-24,0.01,0.01,0.01,0.01,425
o_rourke,2019-10-24,0.01,0.01,0.01,0.01,13113
clinton,2019-10-24,0.08,0.11,0.08,0.08,46921
s_brown,2019-10-24,0.01,0.01,0.01,0.01,300
bloomberg,2019-10-24,0.03,0.04,0.02,0.02,12593
yang,2019-10-24,0.09,0.09,0.07,0.09,14362
buttigieg,2019-10-24,0.11,0.17,0.11,0.15000000000000002,43027
castro,2019-10-24,0.01,0.01,0.01,0.01,112
gabbard,2019-10-24,0.04,0.04,0.02,0.03,36591
hickenlooper,2019-10-24,0.01,0.01,0.01,0.01,0
inslee,2019-10-24,0.01,0.01,0.01,0.01,0
bullock,2019-10-24,0.01,0.02,0.01,0.01,1225
bennet,2019-10-24,0.01,0.01,0.01,0.01,500
williamson,2019-10-24,0.01,0.01,0.01,0.01,125
ryan,2019-10-24,0.01,0.01,0.01,0.01,0
de_blasio,2019-10-24,0.01,0.01,0.01,0.01,0
swalwell,2019-10-24,0.01,0.01,0.01,0.01,0
steyer,2019-10-24,0.01,0.02,0.01,0.01,11556
sanders,2019-10-25,0.12000000000000001,0.13,0.11,0.12000000000000001,13339
booker,2019-10-25,0.02,0.02,0.01,0.01,2095
harris,2019-10-25,0.03,0.05,0.03,0.03,7450
gillibrand,2019-10-25,0.01,0.01,0.01,0.01,1
biden,2019-10-25,0.21000000000000002,0.23,0.21000000000000002,0.22,6334
warren,2019-10-25,0.39,0.41000000000000003,0.39,0.4,7331
cuomo,2019-10-25,0.01,0.01,0.01,0.01,0
zuckerberg,2019-10-25,0.01,0.01,0.01,0.01,0
kaine,2019-10-25,0.01,0.01,0.01,0.01,100
klobuchar,2019-10-25,0.03,0.04,0.02,0.03,6387
johnson,2019-10-25,0.01,0.01,0.01,0.01,0
brown,2019-10-25,0.01,0.01,0.01,0.01,0
murphy,2019-10-25,0.01,0.01,0.01,0.01,0
delaney,2019-10-25,0.01,0.01,0.01,0.01,0
winfrey,2019-10-25,0.01,0.01,0.01,0.01,50
o_rourke,2019-10-25,0.01,0.01,0.01,0.01,577
clinton,2019-10-25,0.08,0.09,0.08,0.08,10738
s_brown,2019-10-25,0.01,0.01,0.01,0.01,21
bloomberg,2019-10-25,0.02,0.03,0.02,0.03,12043
yang,2019-10-25,0.09,0.09,0.08,0.08,7935
buttigieg,2019-10-25,0.15000000000000002,0.16,0.14,0.14,18217
castro,2019-10-25,0.01,0.01,0.01,0.01,25
gabbard,2019-10-25,0.03,0.03,0.02,0.02,9574
hickenlooper,2019-10-25,0.01,0.01,0.01,0.01,0
inslee,2019-10-25,0.01,0.01,0.01,0.01,0
