name,date,open,high,low,close,volume
sanders,2019-04-22,0.23,0.23,0.21000000000000002,0.23,15307
booker,2019-04-22,0.04,0.06,0.04,0.04,10680
harris,2019-04-22,0.14,0.15000000000000002,0.13,0.14,27184
gillibrand,2019-04-22,0.02,0.03,0.02,0.02,7766
biden,2019-04-22,0.24000000000000002,0.25,0.22,0.23,27210
warren,2019-04-22,0.07,0.08,0.07,0.07,12084
cuomo,2019-04-22,0.01,0.01,0.01,0.01,0
zuckerberg,2019-04-22,0.01,0.01,0.01,0.01,0
kaine,2019-04-22,0.01,0.01,0.01,0.01,0
klobuchar,2019-04-22,0.03,0.04,0.03,0.03,16667
johnson,2019-04-22,0.01,0.01,0.01,0.01,1
brown,2019-04-22,0.01,0.01,0.01,0.01,0
murphy,2019-04-22,0.01,0.01,0.01,0.01,0
delaney,2019-04-22,0.01,0.01,0.01,0.01,1
winfrey,2019-04-22,0.01,0.01,0.01,0.01,2002
o_rourke,2019-04-22,0.07,0.08,0.06,0.06,18194
clinton,2019-04-22,0.02,0.03,0.01,0.02,5167
s_brown,2019-04-22,0.01,0.01,0.01,0.01,0
bloomberg,2019-04-22,0.01,0.01,0.01,0.01,3318
yang,2019-04-22,0.09,0.11,0.09,0.1,31420
buttigieg,2019-04-22,0.18,0.19,0.18,0.18,24936
castro,2019-04-22,0.01,0.02,0.01,0.01,8177
gabbard,2019-04-22,0.02,0.03,0.02,0.02,10199
hickenlooper,2019-04-22,0.01,0.02,0.01,0.01,7325
inslee,2019-04-22,0.01,0.02,0.01,0.01,3632
sanders,2019-04-23,0.23,0.23,0.21000000000000002,0.23,17531
booker,2019-04-23,0.04,0.05,0.04,0.04,5806
harris,2019-04-23,0.14,0.15000000000000002,0.13,0.14,13883
gillibrand,2019-04-23,0.02,0.03,0.02,0.02,6600
biden,2019-04-23,0.23,0.25,0.22,0.24000000000000002,28790
warren,2019-04-23,0.07,0.09,0.07,0.09,35229
cuomo,2019-04-23,0.01,0.01,0.01,0.01,501
zuckerberg,2019-04-23,0.01,0.01,0.01,0.01,0
kaine,2019-04-23,0.01,0.01,0.01,0.01,0
klobuchar,2019-04-23,0.03,0.04,0.03,0.03,4908
johnson,2019-04-23,0.01,0.01,0.01,0.01,0
brown,2019-04-23,0.01,0.01,0.01,0.01,0
murphy,2019-04-23,0.01,0.01,0.01,0.01,0
delaney,2019-04-23,0.01,0.01,0.01,0.01,100
winfrey,2019-04-23,0.01,0.01,0.01,0.01,3500
o_rourke,2019-04-23,0.06,0.07,0.06,0.07,18497
clinton,2019-04-23,0.02,0.03,0.02,0.02,2713
s_brown,2019-04-23,0.01,0.01,0.01,0.01,0
bloomberg,2019-04-23,0.01,0.01,0.01,0.01,12216
yang,2019-04-23,0.1,0.11,0.09,0.1,14554
buttigieg,2019-04-23,0.18,0.19,0.18,0.19,31482
castro,2019-04-23,0.01,0.02,0.01,0.01,11874
gabbard,2019-04-23,0.02,0.03,0.02,0.02,11504
hickenlooper,2019-04-23,0.01,0.02,0.01,0.01,3088
inslee,2019-04-23,0.01,0.02,0.01,0.01,17939
sanders,2019-04-24,0.23,0.24000000000000002,0.21000000000000002,0.23,18141
booker,2019-04-24,0.04,0.05,0.04,0.05,4059
harris,2019-04-24,0.14,0.15000000000000002,0.13,0.15000000000000002,10696
gillibrand,2019-04-24,0.02,0.03,0.02,0.02,4450
biden,2019-04-24,0.24000000000000002,0.26,0.24000000000000002,0.24000000000000002,15745
warren,2019-04-24,0.09,0.09,0.07,0.09,18114
cuomo,2019-04-24,0.01,0.01,0.01,0.01,10
zuckerberg,2019-04-24,0.01,0.01,0.01,0.01,10
kaine,2019-04-24,0.01,0.01,0.01,0.01,10
klobuchar,2019-04-24,0.03,0.04,0.03,0.03,8843
johnson,2019-04-24,0.01,0.01,0.01,0.01,10
brown,2019-04-24,0.01,0.01,0.01,0.01,5
murphy,2019-04-24,0.01,0.01,0.01,0.01,0
delaney,2019-04-24,0.01,0.01,0.01,0.01,600
winfrey,2019-04-24,0.01,0.01,0.01,0.01,0
o_rourke,2019-04-24,0.07,0.07,0.06,0.07,19670
clinton,2019-04-24,0.02,0.03,0.01,0.02,30022
s_brown,2019-04-24,0.01,0.01,0.01,0.01,0
bloomberg,2019-04-24,0.01,0.01,0.01,0.01,8621
yang,2019-04-24,0.1,0.1,0.09,0.09,14674
buttigieg,2019-04-24,0.19,0.19,0.17,0.17,21335
castro,2019-04-24,0.01,0.02,0.01,0.02,3619
gabbard,2019-04-24,0.02,0.03,0.02,0.03,4506
hickenlooper,2019-04-24,0.01,0.02,0.01,0.01,5491
inslee,2019-04-24,0.01,0.01,0.01,0.01,1322
sanders,2019-04-25,0.23,0.23,0.21000000000000002,0.23,16897
booker,2019-04-25,0.05,0.05,0.04,0.04,6773
harris,2019-04-25,0.15000000000000002,0.15000000000000002,0.14,0.14,17357
gillibrand,2019-04-25,0.02,0.03,0.02,0.02,7668
biden,2019-04-25,0.24000000000000002,0.26,0.23,0.25,72936
warren,2019-04-25,0.09,0.1,0.08,0.1,39561
cuomo,2019-04-25,0.01,0.01,0.01,0.01,0
zuckerberg,2019-04-25,0.01,0.01,0.01,0.01,0
kaine,2019-04-25,0.01,0.01,0.01,0.01,0
klobuchar,2019-04-25,0.03,0.04,0.03,0.03,7917
johnson,2019-04-25,0.01,0.01,0.01,0.01,100
brown,2019-04-25,0.01,0.01,0.01,0.01,4901
murphy,2019-04-25,0.01,0.01,0.01,0.01,0
delaney,2019-04-25,0.01,0.01,0.01,0.01,100
winfrey,2019-04-25,0.01,0.01,0.01,0.01,2128
o_rourke,2019-04-25,0.07,0.07,0.06,0.06,13738
clinton,2019-04-25,0.02,0.03,0.01,0.02,7030
s_brown,2019-04-25,0.01,0.01,0.01,0.01,0
bloomberg,2019-04-25,0.01,0.02,0.01,0.01,3901
yang,2019-04-25,0.09,0.1,0.08,0.09,22074
buttigieg,2019-04-25,0.17,0.17,0.15000000000000002,0.16,25854
castro,2019-04-25,0.02,0.02,0.01,0.01,7075
gabbard,2019-04-25,0.03,0.03,0.02,0.02,35589
hickenlooper,2019-04-25,0.01,0.02,0.01,0.01,7118
inslee,2019-04-25,0.01,0.01,0.01,0.01,5117
sanders,2019-04-26,0.23,0.23,0.22,0.23,9621
booker,2019-04-26,0.04,0.05,0.04,0.05,10180
harris,2019-04-26,0.14,0.15000000000000002,0.14,0.15000000000000002,8785
gillibrand,2019-04-26,0.02,0.03,0.02,0.02,6061
biden,2019-04-26,0.25,0.25,0.22,0.22,30083
warren,2019-04-26,0.1,0.1,0.08,0.09,26206
cuomo,2019-04-26,0.01,0.01,0.01,0.01,5001
zuckerberg,2019-04-26,0.01,0.01,0.01,0.01,0
kaine,2019-04-26,0.01,0.01,0.01,0.01,0
klobuchar,2019-04-26,0.03,0.04,0.03,0.03,10172
johnson,2019-04-26,0.01,0.01,0.01,0.01,100
brown,2019-04-26,0.01,0.01,0.01,0.01,0
murphy,2019-04-26,0.01,0.01,0.01,0.01,1
delaney,2019-04-26,0.01,0.01,0.01,0.01,3
winfrey,2019-04-26,0.01,0.01,0.01,0.01,1700
o_rourke,2019-04-26,0.06,0.07,0.06,0.06,11692
clinton,2019-04-26,0.02,0.03,0.02,0.02,5513
s_brown,2019-04-26,0.01,0.01,0.01,0.01,0
bloomberg,2019-04-26,0.01,0.01,0.01,0.01,1
yang,2019-04-26,0.09,0.1,0.08,0.1,26304
buttigieg,2019-04-26,0.16,0.17,0.15000000000000002,0.16,9700
castro,2019-04-26,0.01,0.02,0.01,0.01,13978
gabbard,2019-04-26,0.02,0.03,0.02,0.02,8701
hickenlooper,2019-04-26,0.01,0.02,0.01,0.02,3085
inslee,2019-04-26,0.01,0.02,0.01,0.02,4154
sanders,2019-04-27,0.23,0.23,0.22,0.23,5104
booker,2019-04-27,0.05,0.05,0.04,0.05,4320
harris,2019-04-27,0.15000000000000002,0.15000000000000002,0.14,0.15000000000000002,16468
gillibrand,2019-04-27,0.02,0.03,0.01,0.02,4060
biden,2019-04-27,0.22,0.23,0.22,0.22,7159
warren,2019-04-27,0.09,0.1,0.08,0.09,3142
cuomo,2019-04-27,0.01,0.01,0.01,0.01,0
zuckerberg,2019-04-27,0.01,0.01,0.01,0.01,0
kaine,2019-04-27,0.01,0.01,0.01,0.01,0
klobuchar,2019-04-27,0.03,0.04,0.03,0.03,643
johnson,2019-04-27,0.01,0.01,0.01,0.01,0
brown,2019-04-27,0.01,0.01,0.01,0.01,0
murphy,2019-04-27,0.01,0.01,0.01,0.01,0
delaney,2019-04-27,0.01,0.01,0.01,0.01,10
winfrey,2019-04-27,0.01,0.01,0.01,0.01,0
o_rourke,2019-04-27,0.06,0.07,0.06,0.07,5093
clinton,2019-04-27,0.02,0.03,0.02,0.02,1554
s_brown,2019-04-27,0.01,0.01,0.01,0.01,0
bloomberg,2019-04-27,0.01,0.01,0.01,0.01,0
yang,2019-04-27,0.1,0.11,0.09,0.11,13800
buttigieg,2019-04-27,0.16,0.16,0.15000000000000002,0.16,6514
castro,2019-04-27,0.01,0.02,0.01,0.01,5790
gabbard,2019-04-27,0.02,0.03,0.02,0.02,6381
hickenlooper,2019-04-27,0.02,0.02,0.01,0.02,634
inslee,2019-04-27,0.02,0.02,0.01,0.01,8528
sanders,2019-04-28,0.23,0.23,0.22,0.23,9762
booker,2019-04-28,0.05,0.05,0.04,0.05,4255
harris,2019-04-28,0.15000000000000002,0.15000000000000002,0.14,0.15000000000000002,6283
gillibrand,2019-04-28,0.02,0.02,0.01,0.01,3298
biden,2019-04-28,0.22,0.23,0.22,0.22,8836
warren,2019-04-28,0.09,0.1,0.09,0.1,3750
cuomo,2019-04-28,0.01,0.01,0.01,0.01,1
zuckerberg,2019-04-28,0.01,0.01,0.01,0.01,0
kaine,2019-04-28,0.01,0.01,0.01,0.01,1
klobuchar,2019-04-28,0.03,0.04,0.03,0.03,1278
johnson,2019-04-28,0.01,0.01,0.01,0.01,0
brown,2019-04-28,0.01,0.01,0.01,0.01,0
murphy,2019-04-28,0.01,0.01,0.01,0.01,1
delaney,2019-04-28,0.01,0.01,0.01,0.01,38
winfrey,2019-04-28,0.01,0.01,0.01,0.01,52332
o_rourke,2019-04-28,0.07,0.07,0.06,0.06,7642
clinton,2019-04-28,0.02,0.03,0.01,0.01,2032
s_brown,2019-04-28,0.01,0.01,0.01,0.01,100
bloomberg,2019-04-28,0.01,0.01,0.01,0.01,205
yang,2019-04-28,0.11,0.11,0.1,0.1,11786
buttigieg,2019-04-28,0.16,0.16,0.15000000000000002,0.15000000000000002,8123
castro,2019-04-28,0.01,0.02,0.01,0.01,2510
gabbard,2019-04-28,0.02,0.04,0.02,0.03,18870
hickenlooper,2019-04-28,0.02,0.02,0.01,0.01,3484
inslee,2019-04-28,0.01,0.02,0.01,0.01,10145
sanders,2019-04-29,0.23,0.23,0.22,0.23,4363
booker,2019-04-29,0.05,0.05,0.04,0.04,1472
harris,2019-04-29,0.15000000000000002,0.16,0.14,0.15000000000000002,3086
gillibrand,2019-04-29,0.01,0.02,0.01,0.01,10714
biden,2019-04-29,0.22,0.24000000000000002,0.22,0.23,27556
warren,2019-04-29,0.1,0.1,0.08,0.09,18649
cuomo,2019-04-29,0.01,0.01,0.01,0.01,0
zuckerberg,2019-04-29,0.01,0.01,0.01,0.01,0
kaine,2019-04-29,0.01,0.01,0.01,0.01,0
klobuchar,2019-04-29,0.03,0.04,0.03,0.04,203
johnson,2019-04-29,0.01,0.01,0.01,0.01,200
brown,2019-04-29,0.01,0.01,0.01,0.01,0
murphy,2019-04-29,0.01,0.01,0.01,0.01,0
delaney,2019-04-29,0.01,0.01,0.01,0.01,197
winfrey,2019-04-29,0.01,0.01,0.01,0.01,5700
o_rourke,2019-04-29,0.06,0.07,0.06,0.07,2502
clinton,2019-04-29,0.01,0.02,0.01,0.02,1684
s_brown,2019-04-29,0.01,0.01,0.01,0.01,0
bloomberg,2019-04-29,0.01,0.01,0.01,0.01,0
yang,2019-04-29,0.1,0.11,0.09,0.1,5004
buttigieg,2019-04-29,0.15000000000000002,0.16,0.15000000000000002,0.15000000000000002,9659
castro,2019-04-29,0.01,0.02,0.01,0.01,2837
gabbard,2019-04-29,0.03,0.04,0.03,0.04,1500
hickenlooper,2019-04-29,0.01,0.02,0.01,0.01,5907
inslee,2019-04-29,0.01,0.02,0.01,0.01,4607
sanders,2019-04-30,0.23,0.23,0.2,0.21000000000000002,35945
booker,2019-04-30,0.04,0.05,0.04,0.04,11823
harris,2019-04-30,0.15000000000000002,0.16,0.14,0.14,19002
gillibrand,2019-04-30,0.01,0.02,0.01,0.01,13066
biden,2019-04-30,0.23,0.29000000000000004,0.23,0.28,97551
warren,2019-04-30,0.09,0.11,0.08,0.1,52102
cuomo,2019-04-30,0.01,0.01,0.01,0.01,432
zuckerberg,2019-04-30,0.01,0.01,0.01,0.01,15
kaine,2019-04-30,0.01,0.01,0.01,0.01,0
klobuchar,2019-04-30,0.04,0.04,0.03,0.03,7221
johnson,2019-04-30,0.01,0.01,0.01,0.01,1
brown,2019-04-30,0.01,0.01,0.01,0.01,0
murphy,2019-04-30,0.01,0.01,0.01,0.01,0
delaney,2019-04-30,0.01,0.01,0.01,0.01,0
winfrey,2019-04-30,0.01,0.02,0.01,0.01,2546
o_rourke,2019-04-30,0.07,0.07,0.06,0.06,17831
clinton,2019-04-30,0.02,0.03,0.01,0.02,1887
s_brown,2019-04-30,0.01,0.01,0.01,0.01,29
bloomberg,2019-04-30,0.01,0.01,0.01,0.01,51
yang,2019-04-30,0.1,0.1,0.09,0.09,9095
buttigieg,2019-04-30,0.15000000000000002,0.16,0.12000000000000001,0.13,57272
castro,2019-04-30,0.01,0.02,0.01,0.01,3379
gabbard,2019-04-30,0.04,0.04,0.03,0.03,28552
hickenlooper,2019-04-30,0.01,0.02,0.01,0.01,1738
inslee,2019-04-30,0.01,0.02,0.01,0.01,5404
sanders,2019-05-01,0.21000000000000002,0.21000000000000002,0.2,0.2,16463
booker,2019-05-01,0.04,0.06,0.04,0.05,13200
harris,2019-05-01,0.14,0.16,0.14,0.14,34493
gillibrand,2019-05-01,0.01,0.02,0.01,0.01,5873
biden,2019-05-01,0.28,0.29000000000000004,0.27,0.28,29402
warren,2019-05-01,0.1,0.11,0.1,0.1,9591
cuomo,2019-05-01,0.01,0.01,0.01,0.01,0
zuckerberg,2019-05-01,0.01,0.01,0.01,0.01,55
kaine,2019-05-01,0.01,0.01,0.01,0.01,0
klobuchar,2019-05-01,0.03,0.04,0.03,0.03,4083
johnson,2019-05-01,0.01,0.01,0.01,0.01,55
brown,2019-05-01,0.01,0.01,0.01,0.01,0
murphy,2019-05-01,0.01,0.01,0.01,0.01,67
delaney,2019-05-01,0.01,0.01,0.01,0.01,151
winfrey,2019-05-01,0.01,0.01,0.01,0.01,2075
o_rourke,2019-05-01,0.06,0.07,0.06,0.06,10529
clinton,2019-05-01,0.02,0.02,0.01,0.02,1422
s_brown,2019-05-01,0.01,0.01,0.01,0.01,0
bloomberg,2019-05-01,0.01,0.01,0.01,0.01,14
yang,2019-05-01,0.09,0.1,0.09,0.09,5204
buttigieg,2019-05-01,0.13,0.14,0.13,0.13,13025
castro,2019-05-01,0.01,0.02,0.01,0.02,3686
gabbard,2019-05-01,0.03,0.04,0.03,0.03,4073
hickenlooper,2019-05-01,0.01,0.02,0.01,0.01,4969
inslee,2019-05-01,0.01,0.02,0.01,0.01,7936
sanders,2019-05-02,0.2,0.21000000000000002,0.2,0.21000000000000002,6030
booker,2019-05-02,0.05,0.06,0.04,0.05,6604
harris,2019-05-02,0.14,0.16,0.14,0.15000000000000002,8147
gillibrand,2019-05-02,0.01,0.02,0.01,0.02,2662
biden,2019-05-02,0.28,0.28,0.26,0.26,27599
warren,2019-05-02,0.1,0.11,0.1,0.1,20064
cuomo,2019-05-02,0.01,0.01,0.01,0.01,0
zuckerberg,2019-05-02,0.01,0.01,0.01,0.01,1
kaine,2019-05-02,0.01,0.01,0.01,0.01,0
klobuchar,2019-05-02,0.03,0.04,0.03,0.03,2429
johnson,2019-05-02,0.01,0.01,0.01,0.01,0
brown,2019-05-02,0.01,0.01,0.01,0.01,0
murphy,2019-05-02,0.01,0.01,0.01,0.01,0
delaney,2019-05-02,0.01,0.01,0.01,0.01,0
winfrey,2019-05-02,0.01,0.01,0.01,0.01,2
o_rourke,2019-05-02,0.06,0.07,0.06,0.06,6599
clinton,2019-05-02,0.02,0.02,0.01,0.01,2625
s_brown,2019-05-02,0.01,0.01,0.01,0.01,40
bloomberg,2019-05-02,0.01,0.01,0.01,0.01,1
yang,2019-05-02,0.09,0.1,0.09,0.1,4358
buttigieg,2019-05-02,0.13,0.14,0.13,0.13,7702
castro,2019-05-02,0.02,0.02,0.01,0.01,9712
gabbard,2019-05-02,0.03,0.04,0.03,0.03,21108
hickenlooper,2019-05-02,0.01,0.02,0.01,0.01,3298
inslee,2019-05-02,0.01,0.02,0.01,0.01,45962
sanders,2019-05-03,0.21000000000000002,0.21000000000000002,0.2,0.21000000000000002,22785
booker,2019-05-03,0.05,0.06,0.05,0.05,3641
harris,2019-05-03,0.15000000000000002,0.16,0.15000000000000002,0.15000000000000002,21755
gillibrand,2019-05-03,0.02,0.02,0.01,0.01,309
biden,2019-05-03,0.26,0.27,0.26,0.27,24659
warren,2019-05-03,0.1,0.11,0.09,0.09,29175
cuomo,2019-05-03,0.01,0.01,0.01,0.01,500
zuckerberg,2019-05-03,0.01,0.01,0.01,0.01,0
kaine,2019-05-03,0.01,0.01,0.01,0.01,2500
klobuchar,2019-05-03,0.03,0.04,0.03,0.03,9642
johnson,2019-05-03,0.01,0.01,0.01,0.01,0
brown,2019-05-03,0.01,0.01,0.01,0.01,500
murphy,2019-05-03,0.01,0.01,0.01,0.01,0
delaney,2019-05-03,0.01,0.01,0.01,0.01,50
winfrey,2019-05-03,0.01,0.01,0.01,0.01,0
o_rourke,2019-05-03,0.06,0.07,0.06,0.06,21004
clinton,2019-05-03,0.01,0.03,0.01,0.02,2825
s_brown,2019-05-03,0.01,0.01,0.01,0.01,0
bloomberg,2019-05-03,0.01,0.01,0.01,0.01,0
yang,2019-05-03,0.1,0.1,0.09,0.09,15284
buttigieg,2019-05-03,0.13,0.14,0.12000000000000001,0.12000000000000001,16818
castro,2019-05-03,0.01,0.02,0.01,0.01,1413
gabbard,2019-05-03,0.03,0.04,0.03,0.03,2826
hickenlooper,2019-05-03,0.01,0.02,0.01,0.01,712
inslee,2019-05-03,0.01,0.02,0.01,0.01,1297
sanders,2019-05-04,0.21000000000000002,0.21000000000000002,0.2,0.21000000000000002,6114
booker,2019-05-04,0.05,0.06,0.05,0.06,1038
harris,2019-05-04,0.15000000000000002,0.16,0.15000000000000002,0.15000000000000002,4116
gillibrand,2019-05-04,0.01,0.02,0.01,0.01,11690
biden,2019-05-04,0.27,0.27,0.26,0.26,8781
warren,2019-05-04,0.09,0.1,0.09,0.1,14218
