name,date,open,high,low,close,volume
sanders,2019-11-20,0.14,0.15000000000000002,0.13,0.14,18167
booker,2019-11-20,0.01,0.02,0.01,0.02,86387
harris,2019-11-20,0.02,0.03,0.02,0.02,60808
gillibrand,2019-11-20,0.01,0.01,0.01,0.01,7
biden,2019-11-20,0.24000000000000002,0.24000000000000002,0.21000000000000002,0.21000000000000002,35883
warren,2019-11-20,0.24000000000000002,0.27,0.23,0.25,22793
cuomo,2019-11-20,0.01,0.01,0.01,0.01,0
zuckerberg,2019-11-20,0.01,0.01,0.01,0.01,0
kaine,2019-11-20,0.01,0.01,0.01,0.01,0
klobuchar,2019-11-20,0.03,0.04,0.02,0.03,58928
johnson,2019-11-20,0.01,0.01,0.01,0.01,0
brown,2019-11-20,0.01,0.01,0.01,0.01,0
murphy,2019-11-20,0.01,0.01,0.01,0.01,0
delaney,2019-11-20,0.01,0.01,0.01,0.01,0
winfrey,2019-11-20,0.01,0.01,0.01,0.01,200
o_rourke,2019-11-20,0.01,0.01,0.01,0.01,115
clinton,2019-11-20,0.07,0.08,0.06,0.06,10037
s_brown,2019-11-20,0.01,0.01,0.01,0.01,0
bloomberg,2019-11-20,0.08,0.1,0.07,0.09,31190
yang,2019-11-20,0.08,0.09,0.08,0.08,12236
buttigieg,2019-11-20,0.2,0.22,0.19,0.22,49645
castro,2019-11-20,0.01,0.01,0.01,0.01,103
gabbard,2019-11-20,0.04,0.04,0.02,0.03,85056
hickenlooper,2019-11-20,0.01,0.01,0.01,0.01,0
inslee,2019-11-20,0.01,0.01,0.01,0.01,0
bullock,2019-11-20,0.01,0.01,0.01,0.01,0
bennet,2019-11-20,0.01,0.01,0.01,0.01,1000
williamson,2019-11-20,0.01,0.01,0.01,0.01,100
ryan,2019-11-20,0.01,0.01,0.01,0.01,0
de_blasio,2019-11-20,0.01,0.01,0.01,0.01,0
swalwell,2019-11-20,0.01,0.01,0.01,0.01,0
steyer,2019-11-20,0.01,0.01,0.01,0.01,6300
patrick,2019-11-20,0.01,0.03,0.01,0.01,80266
sanders,2019-11-21,0.14,0.15000000000000002,0.13,0.15000000000000002,25526
booker,2019-11-21,0.02,0.02,0.01,0.01,25543
harris,2019-11-21,0.02,0.04,0.02,0.03,44893
gillibrand,2019-11-21,0.01,0.01,0.01,0.01,0
biden,2019-11-21,0.21000000000000002,0.23,0.2,0.21000000000000002,26508
warren,2019-11-21,0.25,0.27,0.25,0.25,15310
cuomo,2019-11-21,0.01,0.01,0.01,0.01,0
zuckerberg,2019-11-21,0.01,0.01,0.01,0.01,0
kaine,2019-11-21,0.01,0.01,0.01,0.01,0
klobuchar,2019-11-21,0.03,0.04,0.02,0.03,25078
johnson,2019-11-21,0.01,0.01,0.01,0.01,0
brown,2019-11-21,0.01,0.01,0.01,0.01,0
murphy,2019-11-21,0.01,0.01,0.01,0.01,0
delaney,2019-11-21,0.01,0.01,0.01,0.01,0
winfrey,2019-11-21,0.01,0.01,0.01,0.01,10
o_rourke,2019-11-21,0.01,0.01,0.01,0.01,176
clinton,2019-11-21,0.06,0.08,0.06,0.07,22745
