name,date,open,high,low,close,volume
sanders,2019-06-15,0.18,0.18,0.16,0.18,7508
booker,2019-06-15,0.04,0.05,0.04,0.05,10312
harris,2019-06-15,0.11,0.11,0.1,0.11,6039
gillibrand,2019-06-15,0.02,0.02,0.01,0.01,3779
biden,2019-06-15,0.26,0.27,0.25,0.26,10544
warren,2019-06-15,0.2,0.21000000000000002,0.18,0.19,21225
cuomo,2019-06-15,0.01,0.01,0.01,0.01,0
zuckerberg,2019-06-15,0.01,0.01,0.01,0.01,0
kaine,2019-06-15,0.01,0.01,0.01,0.01,0
klobuchar,2019-06-15,0.03,0.04,0.03,0.03,4284
johnson,2019-06-15,0.01,0.01,0.01,0.01,0
brown,2019-06-15,0.01,0.01,0.01,0.01,26
murphy,2019-06-15,0.01,0.01,0.01,0.01,0
delaney,2019-06-15,0.01,0.01,0.01,0.01,1100
winfrey,2019-06-15,0.01,0.01,0.01,0.01,25
o_rourke,2019-06-15,0.05,0.05,0.04,0.04,7423
clinton,2019-06-15,0.03,0.04,0.03,0.04,20877
s_brown,2019-06-15,0.01,0.01,0.01,0.01,25
bloomberg,2019-06-15,0.01,0.01,0.01,0.01,0
yang,2019-06-15,0.09,0.11,0.09,0.1,11766
buttigieg,2019-06-15,0.15000000000000002,0.17,0.15000000000000002,0.16,13908
castro,2019-06-15,0.01,0.02,0.01,0.01,4999
gabbard,2019-06-15,0.03,0.04,0.03,0.03,3715
hickenlooper,2019-06-15,0.01,0.02,0.01,0.01,4777
inslee,2019-06-15,0.02,0.02,0.01,0.01,3657
bullock,2019-06-15,0.01,0.02,0.01,0.01,11156
sanders,2019-06-16,0.18,0.18,0.16,0.17,16743
booker,2019-06-16,0.05,0.05,0.04,0.04,5152
harris,2019-06-16,0.11,0.11,0.1,0.1,6189
gillibrand,2019-06-16,0.01,0.02,0.01,0.01,5062
biden,2019-06-16,0.26,0.27,0.26,0.26,13209
warren,2019-06-16,0.19,0.2,0.19,0.2,20329
cuomo,2019-06-16,0.01,0.01,0.01,0.01,20
zuckerberg,2019-06-16,0.01,0.01,0.01,0.01,0
kaine,2019-06-16,0.01,0.01,0.01,0.01,0
klobuchar,2019-06-16,0.03,0.04,0.03,0.04,5543
johnson,2019-06-16,0.01,0.01,0.01,0.01,0
brown,2019-06-16,0.01,0.01,0.01,0.01,0
murphy,2019-06-16,0.01,0.01,0.01,0.01,0
delaney,2019-06-16,0.01,0.01,0.01,0.01,9
winfrey,2019-06-16,0.01,0.01,0.01,0.01,0
o_rourke,2019-06-16,0.04,0.05,0.04,0.04,5659
clinton,2019-06-16,0.04,0.05,0.03,0.04,13402
s_brown,2019-06-16,0.01,0.01,0.01,0.01,10
bloomberg,2019-06-16,0.01,0.01,0.01,0.01,0
yang,2019-06-16,0.1,0.11,0.1,0.1,9017
buttigieg,2019-06-16,0.16,0.17,0.15000000000000002,0.16,8676
castro,2019-06-16,0.01,0.02,0.01,0.01,5813
gabbard,2019-06-16,0.03,0.04,0.03,0.04,5028
hickenlooper,2019-06-16,0.01,0.01,0.01,0.01,5147
inslee,2019-06-16,0.01,0.02,0.01,0.01,6173
bullock,2019-06-16,0.01,0.02,0.01,0.02,21538
bennet,2019-06-16,0.01,0.02,0.01,0.01,40831
williamson,2019-06-16,0.01,0.02,0.01,0.01,46473
ryan,2019-06-16,0.01,0.02,0.01,0.01,44473
de_blasio,2019-06-16,0.01,0.02,0.01,0.01,45759
swalwell,2019-06-16,0.01,0.02,0.01,0.01,55709
sanders,2019-06-17,0.17,0.18,0.16,0.17,7208
booker,2019-06-17,0.04,0.05,0.04,0.04,6079
harris,2019-06-17,0.1,0.11,0.1,0.11,15352
gillibrand,2019-06-17,0.01,0.02,0.01,0.01,3205
biden,2019-06-17,0.26,0.27,0.26,0.26,8207
warren,2019-06-17,0.2,0.21000000000000002,0.18,0.2,12923
cuomo,2019-06-17,0.01,0.01,0.01,0.01,0
zuckerberg,2019-06-17,0.01,0.01,0.01,0.01,0
kaine,2019-06-17,0.01,0.01,0.01,0.01,0
klobuchar,2019-06-17,0.04,0.04,0.03,0.04,9149
johnson,2019-06-17,0.01,0.01,0.01,0.01,0
