state,name,date,open,high,low,close,volume
WI,Republican,2019-12-08,0.44,0.45,0.44,0.45,69
WI,Democratic,2019-12-08,0.53,0.56,0.53,0.56,81
WI,Republican,2019-12-09,0.45,0.46,0.45,0.46,77
WI,Democratic,2019-12-09,0.56,0.56,0.53,0.53,109
WI,Republican,2019-12-10,0.46,0.46,0.45,0.45,1
WI,Democratic,2019-12-10,0.53,0.55,0.53,0.55,1
WI,Republican,2019-12-11,0.45,0.45,0.45,0.45,0
WI,Democratic,2019-12-11,0.55,0.55,0.55,0.55,0
WI,Republican,2019-12-12,0.45,0.48000000000000004,0.45,0.45,209
WI,Democratic,2019-12-12,0.55,0.55,0.52,0.52,72
WI,Republican,2019-12-13,0.45,0.48000000000000004,0.45,0.48000000000000004,61
WI,Democratic,2019-12-13,0.52,0.54,0.52,0.53,61
WI,Republican,2019-12-14,0.48000000000000004,0.48000000000000004,0.47000000000000003,0.48000000000000004,62
WI,Democratic,2019-12-14,0.53,0.53,0.52,0.52,98
WI,Republican,2019-12-15,0.48000000000000004,0.48000000000000004,0.47000000000000003,0.48000000000000004,26
WI,Democratic,2019-12-15,0.52,0.53,0.52,0.53,3
WI,Republican,2019-12-16,0.48000000000000004,0.48000000000000004,0.47000000000000003,0.47000000000000003,1
WI,Democratic,2019-12-16,0.53,0.53,0.52,0.52,1
WI,Republican,2019-12-17,0.47000000000000003,0.49,0.47000000000000003,0.49,210
WI,Democratic,2019-12-17,0.52,0.53,0.51,0.51,571
WI,Republican,2019-12-18,0.49,0.49,0.43000000000000005,0.43000000000000005,137
WI,Democratic,2019-12-18,0.51,0.54,0.5,0.5,272
WI,Republican,2019-12-19,0.43000000000000005,0.51,0.43000000000000005,0.46,950
WI,Democratic,2019-12-19,0.5,0.54,0.5,0.51,248
WI,Republican,2019-12-20,0.46,0.5,0.45,0.45,27
WI,Democratic,2019-12-20,0.51,0.51,0.51,0.51,0
WI,Republican,2019-12-21,0.45,0.5,0.45,0.5,19
WI,Democratic,2019-12-21,0.51,0.51,0.51,0.51,0
